file,left,top,right,bottom
A10_opt_1.png,308,2110,641,2250
A10_opt_2.png,717,2027,1039,2250
A10_opt_3.png,1136,2105,1468,2250
A10_opt_4.png,323,2242,641,2472
A10_opt_5.png,711,2329,1040,2472
A10_opt_6.png,1133,2315,1468,2472
A11_opt_1.png,323,706,640,931
A11_opt_2.png,854,745,1029,918
A11_opt_3.png,1134,746,1453,917
A11_opt_4.png,322,924,639,1151
A11_opt_5.png,773,967,942,1102
A11_opt_6.png,1138,923,1466,1152
A12_opt_1.png,315,2035,625,2195
A12_opt_2.png,710,2092,1030,2236
A12_opt_3.png,1136,2022,1356,2153
A12_opt_4.png,315,2247,624,2452
A12_opt_5.png,789,2241,1027,2446
A12_opt_6.png,1290,2243,1455,2377
B01_opt_1.png,307,703,627,917
B01_opt_2.png,709,704,1029,918
B01_opt_3.png,1136,703,1455,917
B01_opt_4.png,309,923,627,1137
B01_opt_5.png,708,923,1027,1137
B01_opt_6.png,1133,922,1455,1137
B02_opt_1.png,309,2023,628,2237
B02_opt_2.png,709,2024,1030,2239
B02_opt_3.png,1137,2024,1455,2238
B02_opt_4.png,309,2244,628,2457
B02_opt_5.png,728,2263,956,2440
B02_opt_6.png,1135,2244,1455,2458
B03_opt_1.png,307,701,626,914
B03_opt_2.png,709,701,1029,914
B03_opt_3.png,1136,699,1454,913
B03_opt_4.png,308,919,626,1133
B03_opt_5.png,707,919,1027,1133
B03_opt_6.png,1132,919,1454,1134
B04_opt_1.png,309,2020,628,2234
B04_opt_2.png,709,2021,1030,2236
B04_opt_3.png,1156,2040,1384,2216
B04_opt_4.png,308,2241,627,2454
B04_opt_5.png,708,2240,1027,2455
B04_opt_6.png,1134,2241,1454,2455
B05_opt_1.png,307,706,627,920
B05_opt_2.png,708,705,1029,920
B05_opt_3.png,1135,704,1453,918
B05_opt_4.png,308,925,626,1138
B05_opt_5.png,707,925,1026,1139
B05_opt_6.png,1133,924,1453,1138
B06_opt_1.png,310,2024,629,2238
B06_opt_2.png,711,2025,1031,2240
B06_opt_3.png,1138,2025,1456,2239
B06_opt_4.png,308,2244,628,2459
B06_opt_5.png,710,2244,1028,2459
B06_opt_6.png,1135,2245,1456,2460
B07_opt_1.png,309,705,627,918
B07_opt_2.png,709,706,1029,920
B07_opt_3.png,1136,704,1454,919
B07_opt_4.png,309,924,626,1137
B07_opt_5.png,707,924,1027,1139
B07_opt_6.png,1133,925,1454,1139
B08_opt_1.png,310,2023,628,2236
B08_opt_2.png,711,2023,1030,2238
B08_opt_3.png,1137,2024,1456,2238
B08_opt_4.png,309,2242,628,2456
B08_opt_5.png,709,2243,1027,2457
B08_opt_6.png,1135,2244,1455,2458
B09_opt_1.png,307,702,626,915
B09_opt_2.png,708,702,1028,917
B09_opt_3.png,1159,726,1368,895
B09_opt_4.png,307,921,625,1135
B09_opt_5.png,707,921,1026,1136
B09_opt_6.png,1132,921,1453,1135
B10_opt_1.png,309,2021,627,2234
B10_opt_2.png,709,2021,1030,2235
B10_opt_3.png,1136,2021,1455,2235
B10_opt_4.png,308,2240,627,2454
B10_opt_5.png,707,2241,1027,2454
B10_opt_6.png,1134,2241,1454,2455
B11_opt_1.png,307,700,626,914
B11_opt_2.png,708,701,1028,915
B11_opt_3.png,1134,700,1453,914
B11_opt_4.png,308,920,626,1134
B11_opt_5.png,708,921,1026,1134
B11_opt_6.png,1132,920,1453,1134
B12_opt_1.png,309,2018,628,2232
B12_opt_2.png,709,2019,1030,2234
B12_opt_3.png,1136,2020,1455,2234
B12_opt_4.png,308,2238,627,2452
B12_opt_5.png,708,2238,1027,2453
B12_opt_6.png,1134,2240,1454,2454
C01_opt_1.png,283,718,561,903
C01_opt_2.png,590,718,868,904
C01_opt_3.png,913,718,1190,904
C01_opt_4.png,1208,719,1485,904
C01_opt_5.png,283,928,563,1114
C01_opt_6.png,590,930,867,1115
C01_opt_7.png,912,930,1189,1118
C01_opt_8.png,1207,930,1484,1116
C02_opt_1.png,284,2037,562,2223
C02_opt_2.png,591,2037,868,2224
C02_opt_3.png,913,2038,1190,2224
C02_opt_4.png,1209,2039,1485,2224
C02_opt_5.png,284,2247,563,2434
C02_opt_6.png,591,2248,868,2435
C02_opt_7.png,913,2248,1190,2438
C02_opt_8.png,1209,2250,1485,2437
C03_opt_1.png,282,718,560,903
C03_opt_2.png,590,717,868,904
C03_opt_3.png,912,718,1189,905
C03_opt_4.png,1208,717,1484,905
C03_opt_5.png,282,928,563,1113
C03_opt_6.png,590,929,867,1115
C03_opt_7.png,910,929,1188,1118
C03_opt_8.png,1208,931,1483,1116
C04_opt_1.png,283,2035,562,2221
C04_opt_2.png,591,2036,868,2222
C04_opt_3.png,913,2037,1190,2223
C04_opt_4.png,1208,2037,1485,2224
C04_opt_5.png,283,2246,563,2432
C04_opt_6.png,590,2247,868,2433
C04_opt_7.png,913,2248,1190,2437
C04_opt_8.png,1208,2249,1485,2435
C05_opt_1.png,282,715,559,900
C05_opt_2.png,589,716,866,902
C05_opt_3.png,911,716,1188,901
C05_opt_4.png,1207,716,1483,901
C05_opt_5.png,281,924,562,1112
C05_opt_6.png,589,926,866,1112
C05_opt_7.png,911,927,1188,1115
C05_opt_8.png,1207,927,1483,1113
C06_opt_1.png,285,2035,563,2220
C06_opt_2.png,593,2035,870,2221
C06_opt_3.png,915,2037,1192,2222
C06_opt_4.png,1211,2037,1487,2223
C06_opt_5.png,284,2244,564,2432
C06_opt_6.png,591,2247,869,2434
C06_opt_7.png,914,2247,1191,2436
C06_opt_8.png,1210,2248,1486,2435
C07_opt_1.png,281,714,560,899
C07_opt_2.png,590,715,867,900
C07_opt_3.png,912,715,1189,901
C07_opt_4.png,1208,716,1484,902
C07_opt_5.png,282,925,563,1111
C07_opt_6.png,589,926,867,1112
C07_opt_7.png,911,927,1189,1115
C07_opt_8.png,1207,927,1484,1113
C08_opt_1.png,284,2032,562,2217
C08_opt_2.png,591,2033,869,2219
C08_opt_3.png,914,2034,1191,2219
C08_opt_4.png,1209,2035,1486,2220
C08_opt_5.png,284,2243,564,2429
C08_opt_6.png,591,2243,868,2430
C08_opt_7.png,913,2244,1190,2433
C08_opt_8.png,1209,2245,1485,2432
C09_opt_1.png,284,716,561,901
C09_opt_2.png,591,715,868,901
C09_opt_3.png,913,715,1190,901
C09_opt_4.png,1209,714,1485,900
C09_opt_5.png,284,926,564,1112
C09_opt_6.png,591,926,869,1112
C09_opt_7.png,914,925,1190,1114
C09_opt_8.png,1209,926,1486,1112
C10_opt_1.png,284,2033,561,2219
C10_opt_2.png,590,2033,868,2219
C10_opt_3.png,913,2034,1190,2219
C10_opt_4.png,1209,2033,1485,2219
C10_opt_5.png,283,2244,564,2430
C10_opt_6.png,590,2244,868,2430
C10_opt_7.png,913,2244,1190,2433
C10_opt_8.png,1209,2244,1485,2431
C11_opt_1.png,283,716,561,902
C11_opt_2.png,590,716,868,902
C11_opt_3.png,913,715,1190,901
C11_opt_4.png,1208,715,1484,901
C11_opt_5.png,283,927,564,1113
C11_opt_6.png,589,927,868,1113
C11_opt_7.png,912,926,1190,1115
C11_opt_8.png,1208,925,1485,1112
C12_opt_1.png,285,2035,564,2220
C12_opt_2.png,593,2035,870,2222
C12_opt_3.png,916,2036,1193,2221
C12_opt_4.png,1212,2035,1488,2222
C12_opt_5.png,285,2246,565,2432
C12_opt_6.png,593,2247,870,2433
C12_opt_7.png,915,2247,1193,2435
C12_opt_8.png,1211,2247,1487,2434
D01_opt_1.png,283,716,561,901
D01_opt_2.png,590,715,868,901
D01_opt_3.png,913,716,1190,901
D01_opt_4.png,1207,714,1485,901
D01_opt_5.png,283,926,563,1112
D01_opt_6.png,590,927,868,1112
D01_opt_7.png,913,927,1190,1115
D01_opt_8.png,1208,926,1485,1112
D02_opt_1.png,285,2034,563,2219
D02_opt_2.png,593,2034,870,2221
D02_opt_3.png,915,2035,1192,2220
D02_opt_4.png,1210,2036,1487,2222
D02_opt_5.png,285,2245,565,2430
D02_opt_6.png,592,2246,870,2432
D02_opt_7.png,914,2246,1192,2435
D02_opt_8.png,1210,2247,1486,2433
D03_opt_1.png,283,716,560,902
D03_opt_2.png,590,715,868,902
D03_opt_3.png,912,715,1190,902
D03_opt_4.png,1208,716,1484,902
D03_opt_5.png,282,927,563,1112
D03_opt_6.png,590,927,867,1113
D03_opt_7.png,912,927,1190,1115
D03_opt_8.png,1208,927,1484,1113
D04_opt_1.png,285,2033,563,2218
D04_opt_2.png,593,2032,870,2219
D04_opt_3.png,915,2034,1193,2219
D04_opt_4.png,1211,2035,1487,2219
D04_opt_5.png,285,2244,565,2430
D04_opt_6.png,593,2244,870,2430
D04_opt_7.png,915,2244,1192,2433
D04_opt_8.png,1210,2245,1487,2431
D05_opt_1.png,283,717,561,902
D05_opt_2.png,590,717,868,903
D05_opt_3.png,913,717,1190,903
D05_opt_4.png,1208,717,1485,903
D05_opt_5.png,283,928,563,1113
D05_opt_6.png,590,928,868,1114
D05_opt_7.png,913,929,1190,1117
D05_opt_8.png,1208,929,1485,1115
D06_opt_1.png,284,2034,563,2219
D06_opt_2.png,593,2035,870,2220
D06_opt_3.png,915,2035,1192,2221
D06_opt_4.png,1211,2036,1487,2222
D06_opt_5.png,284,2244,565,2431
D06_opt_6.png,592,2245,869,2432
D06_opt_7.png,914,2247,1191,2435
D06_opt_8.png,1210,2247,1486,2434
D07_opt_1.png,282,718,560,904
D07_opt_2.png,590,718,867,904
D07_opt_3.png,912,718,1189,904
D07_opt_4.png,1207,718,1484,905
D07_opt_5.png,282,929,563,1115
D07_opt_6.png,590,930,867,1116
D07_opt_7.png,912,930,1189,1118
D07_opt_8.png,1208,930,1484,1116
D08_opt_1.png,285,2037,562,2223
D08_opt_2.png,592,2038,870,2224
D08_opt_3.png,915,2038,1191,2224
D08_opt_4.png,1210,2039,1486,2225
D08_opt_5.png,284,2247,565,2434
D08_opt_6.png,592,2248,869,2435
D08_opt_7.png,914,2249,1191,2438
D08_opt_8.png,1209,2249,1486,2437
D09_opt_1.png,283,718,562,903
D09_opt_2.png,590,718,868,904
D09_opt_3.png,913,719,1190,905
D09_opt_4.png,1208,721,1485,906
D09_opt_5.png,282,928,563,1114
D09_opt_6.png,590,930,868,1115
D09_opt_7.png,913,931,1190,1119
D09_opt_8.png,1208,931,1485,1118
D10_opt_1.png,285,2037,563,2222
D10_opt_2.png,593,2038,870,2224
D10_opt_3.png,915,2039,1192,2224
D10_opt_4.png,1210,2040,1487,2226
D10_opt_5.png,285,2247,564,2434
D10_opt_6.png,592,2248,869,2435
D10_opt_7.png,914,2250,1191,2438
D10_opt_8.png,1210,2250,1486,2437
D11_opt_1.png,282,718,560,903
D11_opt_2.png,590,717,867,903
D11_opt_3.png,912,717,1188,904
D11_opt_4.png,1207,718,1483,903
D11_opt_5.png,282,928,562,1113
D11_opt_6.png,589,929,866,1115
D11_opt_7.png,911,929,1188,1117
D11_opt_8.png,1207,929,1483,1115
D12_opt_1.png,285,2034,563,2220
D12_opt_2.png,592,2034,870,2221
D12_opt_3.png,915,2036,1192,2222
D12_opt_4.png,1211,2037,1487,2223
D12_opt_5.png,284,2245,564,2432
D12_opt_6.png,592,2246,869,2432
D12_opt_7.png,914,2247,1191,2436
D12_opt_8.png,1210,2247,1486,2435
E01_opt_1.png,282,715,561,900
E01_opt_2.png,590,715,867,900
E01_opt_3.png,912,715,1189,901
E01_opt_4.png,1208,715,1484,901
E01_opt_5.png,289,930,559,1109
E01_opt_6.png,589,926,867,1112
E01_opt_7.png,912,926,1189,1114
E01_opt_8.png,1207,926,1484,1112
E02_opt_1.png,285,2032,562,2217
E02_opt_2.png,592,2033,869,2218
E02_opt_3.png,915,2035,1191,2219
E02_opt_4.png,1216,2039,1486,2217
E02_opt_5.png,290,2248,562,2427
E02_opt_6.png,591,2243,869,2430
E02_opt_7.png,913,2245,1191,2433
E02_opt_8.png,1209,2245,1486,2432
E03_opt_1.png,283,715,560,900
E03_opt_2.png,597,719,867,898
E03_opt_3.png,913,715,1190,900
E03_opt_4.png,1207,714,1484,901
E03_opt_5.png,282,926,563,1111
E03_opt_6.png,590,926,868,1112
E03_opt_7.png,912,925,1190,1114
E03_opt_8.png,1208,926,1484,1112
E04_opt_1.png,286,2032,564,2218
E04_opt_2.png,593,2033,870,2218
E04_opt_3.png,916,2032,1193,2218
E04_opt_4.png,1211,2033,1488,2219
E04_opt_5.png,285,2243,566,2429
E04_opt_6.png,593,2243,870,2430
E04_opt_7.png,915,2244,1193,2432
E04_opt_8.png,1211,2244,1488,2430
E05_opt_1.png,282,718,560,903
E05_opt_2.png,590,717,867,903
E05_opt_3.png,913,717,1189,903
E05_opt_4.png,1208,717,1484,902
E05_opt_5.png,282,928,563,1114
E05_opt_6.png,590,928,867,1114
E05_opt_7.png,913,929,1189,1117
E05_opt_8.png,1208,928,1485,1114
E06_opt_1.png,285,2036,563,2222
E06_opt_2.png,593,2036,870,2222
E06_opt_3.png,915,2036,1192,2222
E06_opt_4.png,1210,2037,1487,2223
E06_opt_5.png,284,2247,565,2433
E06_opt_6.png,592,2247,870,2433
E06_opt_7.png,914,2247,1191,2436
E06_opt_8.png,1209,2247,1486,2434
E07_opt_1.png,283,716,560,900
E07_opt_2.png,590,715,867,902
E07_opt_3.png,912,716,1189,901
E07_opt_4.png,1208,715,1484,901
E07_opt_5.png,282,926,563,1112
E07_opt_6.png,589,926,867,1112
E07_opt_7.png,912,926,1189,1115
E07_opt_8.png,1208,925,1484,1112
E08_opt_1.png,284,2033,562,2218
E08_opt_2.png,592,2034,869,2220
E08_opt_3.png,914,2035,1191,2220
E08_opt_4.png,1210,2035,1486,2222
E08_opt_5.png,284,2244,564,2430
E08_opt_6.png,591,2245,868,2431
E08_opt_7.png,913,2246,1191,2434
E08_opt_8.png,1209,2246,1485,2433
E09_opt_1.png,283,717,560,903
E09_opt_2.png,590,717,868,903
E09_opt_3.png,913,717,1190,903
E09_opt_4.png,1209,717,1485,902
E09_opt_5.png,283,928,563,1114
E09_opt_6.png,590,928,868,1114
E09_opt_7.png,913,928,1190,1116
E09_opt_8.png,1207,928,1485,1115
E10_opt_1.png,285,2033,562,2219
E10_opt_2.png,592,2035,869,2221
E10_opt_3.png,914,2035,1191,2221
E10_opt_4.png,1210,2035,1487,2221
E10_opt_5.png,285,2244,564,2431
E10_opt_6.png,591,2245,869,2432
E10_opt_7.png,914,2246,1191,2435
E10_opt_8.png,1209,2246,1486,2432
E11_opt_1.png,282,718,560,904
E11_opt_2.png,589,717,867,904
E11_opt_3.png,912,718,1188,904
E11_opt_4.png,1207,718,1484,904
E11_opt_5.png,282,929,562,1115
E11_opt_6.png,589,929,866,1115
E11_opt_7.png,912,929,1189,1117
E11_opt_8.png,1207,929,1483,1115
E12_opt_1.png,284,2036,562,2221
E12_opt_2.png,591,2037,869,2223
E12_opt_3.png,913,2037,1190,2223
E12_opt_4.png,1208,2037,1486,2224
E12_opt_5.png,282,2246,563,2433
E12_opt_6.png,590,2247,868,2434
E12_opt_7.png,913,2248,1190,2437
E12_opt_8.png,1208,2248,1485,2435
